Title,initial
"Cross Product of a Vector","2014"
"How to sketch $\int_{0}^{3}\int_{0}^{\sqrt{9-y^2}}\int_{\sqrt{x^2+y^2}}^{\sqrt{18-x^2-y^2}} (x^2+y^2+z^2) dzdxdy$ region of integration on paper?","2015"
"When is y increasing?","2015"
"Differentiate the function.","2012"
"Integration by parts, three times","2016"
"A variant of the method of undetermined coefficients.","2016"
"Laplace calculation","2013"
"What are the best sites to get caught up on Calculus?","2014"
"Does $F$ have a local minimum at $0$?","2013"
"Calculus Word Problem Related Rates","2012"
"The limit $\lim_{n \to \infty}\left(2 + 1/n\right)^{n}$","2014"
"True or False - Convergence","2015"
"recurrence relations Solving for $b_n$","2015"
"Evaluation of $\int\sqrt\frac{1+\tan x}{\csc^2 x+\sqrt{\sec x}}dx$","2015"
"Integration being the opposite of differentiation?","2014"
"Let $x>0$ and $c>0$. Does $x^{1/c}$ always exist?","2016"
"Use a linear approximation (or differentials) to estimate the given number.","2012"
"prove a function is continuously differentiable","2012"
"Bound a product as seen in a paper","2015"
"Is this a valid way of taking the derivative.","2014"
"How do you evaluate $\int e^{-7x}\cos^3(4x)\sin^2(4x)dx$?","2013"
"Problem with trigonometric equation","2012"
"there exists $c \in (a,b)$","2012"
"concavity of function composition","2012"
"Using higher-order derivative tests","2012"
"Proof of Product Rule of Limits","2011"
"Is $f$ continuous at $(0, 1)$ , $(1,1)$?","2016"
"If $f(x)$ is uniformly continuous at $(0,1)$ then is it bounded at $(0,1)$?","2011"
"Find the equation of the tangent line to the polar curve at given $(x,y)$.","2013"
"length of a polar curve","2013"
"Tricky integral on a region in 3D space","2014"
"Is this the correct setting for the following volume?","2014"
"Identity for derivate of a composition","2014"
"Mean Value Theorem: application","2013"
"Taylor Polynomials","2013"
"Lagrange multipliers word problem","2012"
"Prove that $f(x)=e^x\ln⁡ x$ attains every real number as its value exactly once","2016"
"How to integrate $\int 1/(\sqrt {1+1/4v^2}) dv$?","2013"
"Trig Substitution Problem - Integration 2","2014"
"Prove an equality between infinite product and gamma function","2014"
"Differentiation with the quotient rule","2014"
"Sum related zeta riemann","2015"
"Confusing symbolic integration problem","2014"
"Convergance of an alternating series","2013"
"Differentiating under Integral sign for all n","2013"
"Evaluation of $ \int_{0}^{1}\left(\sqrt[4]{1-x^7}-\sqrt[7]{1-x^4}\right)dx$","2015"
"What is $\frac{{\partial f(\left| z \right|)}}{{\partial x}} = $?","2016"
"A related rate question","2012"
"Finding the function of these numbers $1, 2, 5, 13, 34, 89, 233, 610$","2014"
"Derivative of the integral $e^t/t $ from $\sqrt{x}$ to $x$","2014"
"Find $\int \frac{1}{x^7-x}dx$.","2015"
"A limit $\lim_{n\rightarrow \infty}\sum_{k=1}^{n}\frac{k\sin\frac{k\pi}{n}}{1+(\cos\frac{k\pi}{n})^2}$ maybe relate to riemann sum","2012"
"Critical values of the function $t^{3/4}-9t^{1/4}$","2015"
"Derivative of trigonometric functions","2013"
"Second derivative multivariate functions","2014"
"Calculating $ \sum_{n \ge 3|m|}^{} (-1)^n q^{(2n + 1)^2 - 32m^2} $.","2016"
"How do we calculate the area of a region bounded by four different curves?","2011"
"Applications of Rolle's theorem and Intermediate value theorem","2015"
"How to compute the integral $\int_{0}^{1} dx \int_{0}^{\sqrt{x}} e^{-y^2} dy$?","2015"
"How To differentiate this integral","2016"
"Does $\lim_{x\to\infty}\frac{f(x) - f(x/2)}{x} = \ell$ say anything about the convergence of $\lim_{x\to\infty} \frac{f(x)}{x}$?","2016"
"Evaluation of $ \int\frac{x^2-1}{\sqrt{x^4+4x^3+7x^2+4x+1}}dx$","2015"
"Finding the derivative of a quadratic function at a particular point","2013"
"Solution as a quadratic equation","2016"
"Determine inverse function","2015"
"Is the region of all reals an open or closed region?","2015"
"An Integration by parts Identity","2012"
"How can I evaluate the forward difference of a constant like 2?","2015"
"Leibniz's theorem to find nth derivatives","2011"
"Prove that $\lim_{x\to a} f(x) = \infty \implies \lim_{x\to a} \frac{1}{f(x)} = 0$","2014"
"Calculate the ratio of two drinks in order to have a specific ratio of two common ingredients","2015"
"find the value of limit","2015"
"Differential operator and Integral, are they inverse algebracally?","2015"
"Simplifying an integrand","2015"
"Use Logarithmic Differentiation to find $\frac{d}{dx} (x^{{x}^{x}})$ at $x=1$","2014"
"Integral Inequality Question","2011"
"Convergance of series","2013"
"Is the function $\frac{x^2-x-2}{x-2}$ continuous?","2011"
"Help plotting polar functions","2014"
"Find the equation of normal line to the graph of given function","2014"
"Basic Calculus Question On Trig substitution III","2013"
"Help an electrical engineering student with a beam deflection question","2016"
"Inverse Function Help","2015"
"Direction & Vector Based Calculus Problem?","2015"
"alternating series test 5","2015"
"Calculate the limit of logarithm functions","2014"
"How do I find inverse tangent of 2/3 using a triangle?","2013"
"Prove or disprove: if $\int_1^\infty f(x)\,dx$ converges, then $\lim\limits_{x\to\infty}f(x) =0$.","2016"
"Leibniz notation - substitution rule in integration in calculus 1?","2014"
"Mellin trasform $\text{csch}^3(x)$","2016"
"Finding the Polar Equation of a line","2014"
"Find the Area of a Shaded Region using Polar Coordinates","2014"
"Arc Length and Speed","2014"
"chain rule derivative","2015"
"Triple integral in cylindrical coordinates","2012"
"Problem of finding the limit of reductive sequence","2012"
"Intuition for gradient when you only have one variable?","2015"
"The number of solutions of the given equation","2016"
"Need help with calculus? (converge or diverge)","2013"
"$\int_0^4\frac{\log x}{\sqrt{4x-x^2}} dx=0$","2016"
"The limit of $\frac{1^{1/3} + 2^{1/3} + \cdots + n^{1/3}}{n^{4/3}} $","2016"
"Approximating the integral of a curve using a sequence of line segments","2014"
"calculating a limit of a function","2014"
"How can I solve $\int \sqrt{x}^\sqrt{x}dx$","2015"
"If derivates are equal, does it follow that the function is constant?","2014"
"Evaluation of $ \lim_{n\rightarrow \infty}\left[\prod^{n}_{r=1}\left(1+\frac{n}{r}\right)^{\frac{r}{n}}\right]^{\frac{1}{n}}$","2015"
"Show that a set is not bounded","2015"
"Intermediate Value Theorem Converse","2016"
"Continuity and derivative","2016"
"What's this symbol called?","2016"
"Primitive of $x \mapsto e^{\sqrt{x}}$","2015"
"Finding all differentiable functions with a certain property","2012"
"Find $\int_{0}^{\frac{\pi}{2}} \sin^{2n+1}xdx$","2015"
"Show that $\lim_{n \to \infty} \frac{2^{4n}(n!)^4}{((2n)!)^2(2n+1)} = \frac{\pi}{2}$","2015"
"Smallest distance between point and hyperbola","2014"
"squeeze theorem vs. along different paths","2016"
"Interpreting equation of a plane","2016"
"Find the average rate of change of the function over the given interval","2016"
"How to find the domain of $\ln(\sqrt{1-x})$?","2014"
"Average slope of a curve","2013"
"Finding the integral of $\sin(x)\,dx$ using Riemann sums?","2015"
"Cross Product of Vectors","2014"
"Study the Frechet differentiability of a function.","2013"
"A functional equation involving integration","2016"
"Proof using function continuity","2016"
"Showing differentiabililty at a particular point.","2014"
"Could you tell me if this ""proof"" is correct?","2014"
"Prove a differential identity.","2014"
"Finding carrying capacity and estimating a constant from Logistic Equation","2016"
"Prove that there is $x \in [0,1]$ such that $|f''(x)| > 4$","2016"
"Proving Limit By Definition","2015"
"Limit $\lim_{t\to\infty}\frac{10t^3+3t-18}{6-kt^3} = 2$","2013"
"Point of inflexion of $y = \frac{9}{x + 1} - \frac{1}{x - 1}$","2015"
"Generalization of the mean value theorem for the space $C[a,b]$","2014"
"Prove that $\lim_{x\to 0^+}f(x) \text{ exists}$","2014"
"Evaluating a sum(could be decomposed into partial sum)","2014"
"Proof of $\lim_{x \to \infty}\tan x/x$ does not exist","2014"
"Trouble Understanding Continuity Theorem","2014"
"Fundamental Theorem of Calculus confusion","2011"
"Proving that $\int_{-\infty}^{\infty} f(x - \frac{1}{x}) dx = \int_{-\infty}^{\infty} f(x) dx.$","2016"
"Find the area of the region","2016"
"Finding Equation of Tangent parallel to x & y axis","2011"
"IF $f(x) = \int_{0}^{\phi (x)} g(t) dt$, How could we find $f'(x)$? ","2011"
"Problem integrating by parts  $e^{-2x}$","2011"
"How does this improper integral behave?","2014"
"Proving that there are $n-1$ roots in $a_1x^{b_1}+a_2x^{b_2}+...+a_nx^{b_n}=0 $ on $(0,\infty)$","2014"
"Inertia moment of $r=3\sin{4\theta}$","2016"
"Find the form of $f$","2015"
"Prove $\lim_{x \to 0}\frac{f(3x)}{\ln(1+4x)} = 2.25$ knowing that $\lim_{x\to 0}\frac{f(x)}{x} = 3$","2015"
"Problem with a Definite Integral","2015"
"Show the origin is the only critical point of $f$","2014"
"How much was the interest rate","2014"
"Vector field proof","2014"
"Proving uniform continuity of functions","2014"
"Trying to understand flux in terms of Divergence Theorem","2015"
"Integration to minimize area","2013"
"Linear vector field","2015"
"Evaluate double integral (Need help picking $u$ and $v$)","2013"
"Analyze and sketch the graph of $f(x) = x^4 - 12x^3 + 48x^2 - 64x$","2014"
"How to find given by the points $(x_0,y_0)=(0.8,2.1)$ first two steps of Newton's method?","2016"
"Integration by Parts with a Jump Discontinuity","2012"
"Prove a certain particle is always ahead of the other particle.","2014"
"Calculating integral","2012"
"Evaluate $\int_{0}^{\pi} e^{ike^{ix}}dx$","2014"
"Area of a Circle using Squeeze Theorem","2016"
"dedekind ramanujan identities","2016"
"newtons law of cooling","2016"
"Determine all possible paths of the particle","2014"
"Use the given graph $f$ over the interval (0, 7) to find the following:","2012"
"How do you calculate the rate of change of the volume of a cone at a given height and radius","2012"
"Linear function on $\Bbb R^n$","2014"
"Integrate: $\int \frac{2x^2-3x+8}{x^3+4x} \, dx$","2015"
"Find the length of the curve $x=0.5y\sqrt{y^2-1}-0.5\ln(y+\sqrt{y^2-1})$ from y=1 to y=2.","2012"
"Periodic differentiable function","2012"
"How to find this limit?!","2013"
"How to draw the graph by using transformation of graphs","2016"
"Calculating $\int_{-a}^{a} \frac{x\cdot dy}{(x^2+y^2)^{3/2}}$ requires unusual subsitution?","2015"
"FTC problem - Evaluate $\int_{4}^{16} \left[ \frac{d}{dx} \left( \int_{5}^{x} \left( 2\sqrt{t} - 1 \right) \ dt \right) \right] dx$","2015"
"Mean Value Theorem Proofing For all $ x>0$","2015"
"Calculus differentiable gra","2015"
"How to show $\lim_{x\to -3} x^2=9$ by $\epsilon$, $\delta$ definition","2016"
"How to integrate $\sqrt{x^2-1}$","2016"
"Convexity of $x^a e^{-x}$","2014"
"Need References That Discuss The Mathematical Number Known as Wau","2014"
"Have a question related to indefinte integrals","2014"
"Integral points inside a circle of radius r and centre at origin","2016"
"Finding the solution to $x^3 = 3px + 2q$","2014"
"Does there exists this kind of real sequence?","2016"
"Finding the set of cluster points for an interval that is closed and open","2015"
"Limit $\frac{0}{0}$ which tends to $\frac{\pi}{2}$","2012"
"When is a curve a sigmoid?","2012"
"Simple factoring and limit laws","2012"
"Calculating limits using limit laws","2012"
"Limit with square root","2012"
"Calculating limits - difference of cubes","2012"
"Find $(x_0 , y_0)$ given slope and $f(x)$","2014"
"Are all integrable functions continuous?","2015"
"Another integral double check","2015"
"finding a continuous extension","2012"
"Show that $\int_0^\infty \sin\left(x^2\right)dx$ converges, but that $\int_0^\infty \sqrt{\sin^2\left(x^2\right)}dx$ does not.","2012"
"Question on wikipedia's proof of rolles theorem","2014"
"Set up the integral for the volume obtained by rotating the region bounded by the curves y = x, y = 0, x = 4, and x = 6 about x = 1","2016"
"What value of a makes this function continuous","2016"
"Proof by using mean value theorem","2014"
"How to compute if a function in polar coordinates is volume preserving?","2012"
"indefinite differentiation issues","2015"
"Without using Stokes theorem, compute surface and line integrals","2014"
"How Do I solves these types of limits such as $\lim_{x\to\infty}\frac{7x-3}{2x+2}$","2015"
"Chebysshef coefficient Cos","2013"
"How to calculate initial jump velocity for reaching specific height?","2012"
"Finding the length of a curve? Is this question impossible?","2014"
"Calculating the surface area of a curve","2014"
"$f(x)=\sin x$, $f$ polynomial","2016"
"What do I do when I am trying to find the absolute minimum point of a function and function isn't differentiable at that point?","2016"
"Families of Functions, finding critical points","2015"
"Convergence of a series with factorials, parameters and ratio test","2013"
"taking partial derivatives of a modulus","2014"
"Proving a trigonometric inequality which is related to calculus","2014"
"Does $xe^{1/\log(x)}$ have an oblique asymptote when x tends to infinity?","2013"
"Find the minimum and maximum of $h(x) = \dfrac{1}{1+|x|}+\dfrac{1}{1+|x-a_1|}$","2016"
"Breaking up double integrals.","2013"
"How we got $e^{-λ}$ from the $\sum_{j=0}^∞{\frac{λ^j}{j!}}$","2014"
"geometric meaning of cross partial derivative","2015"
"Find $\iint \frac{1}{\sqrt{x^2+y^2}}\;\mathrm{d}y\;\mathrm{d}x$","2015"
"How to integrate $\int dv/(1+\sqrt v)$","2013"
"How can I develop $f(x) = (x^2+1)\cdot \arctan(x)$ into a Taylor series about $x_{0} = 0$?","2016"
"McLaurin Series Representation of $ f(x)=10^x $","2013"
"What does it mean that a function is greater than the other?","2012"
"Noether's Theorem - problem with a proof.","2015"
"Proving that $A'(x) = f(x)$","2014"
"Find the volume of the region under $1+x+x^5$ and above $[0,1]$ that is revolved around the y axis","2014"
"Does MVT prove the existence of f'(c)=0","2014"
"Need a little help with this problem to do with partial derivatives?","2012"
"Evaluate $\lim_{t \to \infty} \frac{(\sqrt t+ t^2)}{(4t - t^2)}$. Why is the limit as $t \to \infty = 0$?","2015"
"How can I integrate $(\tan x)^{1/2}$","2015"
"Double integration with polar coordinates","2014"
"Chain rule application","2012"
"Calculate a limit changing the variable","2015"
"Evaluate $F''(4)$ if $F(x) = \int_{4}^{x} \sqrt {t^2+9} \ dt$","2015"
"Describing behaviour of a function around origin","2016"
"How to show that $\int_{0}^{\pi}{\sqrt{1 + \cos^2 x}}dx$ not solvable in closed form (or is it?).","2014"
"Calculus - Derivatives and Tangent Lines","2014"
"Problem about gradients and directional derivatives","2012"
"Is iteration process through equal sign possible?","2013"
"How can I prove this theorem about integrals?","2015"
"Find the center of mass of a thin plate of constant density","2014"
"Computing taylor series for trigonometric exponential function","2012"
"Proving a function is not uniformly continuous","2012"
"Calculus Continuous or discontinuous","2013"
"There's always a smaller rational $x$ with $x^2\gt2$","2013"
"Show that $f \equiv 0$","2014"
"proof of a calculus fact","2015"
"Strange things happening with definite integration by substitution","2015"
"feedback and corrected answers on my solution in calculus 1","2014"
"Help on Apostol's explanation of Archimedes method?","2015"
"Calculus of the cost of a can","2012"
"Prove that $ f(x) $ has at least two real roots in $ (0,\pi) $","2012"
"Find derivative of an integral with parameter","2012"
"Evaluating a limit with sin and tan in the question","2014"
"Derivative of a split function","2012"
"Find the minimum and maximum of $f(x) = \sum\limits_{k=0}^n (x-a_k)^2$","2016"
"Calculate indefinite integral","2014"
"real roots of the equation $ x^x = \frac{1}{\sqrt{2}}$","2013"
"Prove it. How do I start?","2015"
"A question related to cosine function","2012"
"Solve the following problem related to hemisphere","2015"
"Counter that starts fast and ends slower","2013"
"Integral of $\sqrt{16x^{2}+9}$ with respect to x","2014"
"is $\cos x < \cos (\sin x)$ in $(0,\pi/2)$?","2015"
"Clarifying the statement 'a function has derivative'","2014"
"I forgot how to integrate. Theory question. Why is $\frac{-\pi}{2}\neq \frac{3\pi}{2}$ here?","2011"
"Find all possible values of $f'(1)$","2014"
"Finding area of a region between two circles","2016"
"Why isn't the derivative's value zero here?","2016"
"Finding the integral variables","2015"
"Extreme Value Theorem Proof (Spivak)","2013"
"Find $y(2) $ given $y(x)$ given a separable differential equation","2016"
"Is this operation a partial or total derivative?","2015"
"Simple trick in a integral","2014"
"Limit of $\frac{2-|x|}{2+x}$ when $x\to -2$","2015"
"Integral table contradiction?","2012"
"Verification of a relation","2012"
"basic calculus question about derivative of a composite function","2014"
"Am I on the right track? Any hints on what to do next?","2014"
"Using $\int_{0}^{\frac{\pi}{2}} \sin^{n}dx$ to show an equality","2015"
"Existence of two solutions","2012"
"How to prove this to be an Irrational number?","2014"
"True or false Calculus sequences","2016"
"Suppose $x=f(s,t)$ and $y=g(s,t)$, what is $\frac{dy}{dx}$?","2016"
"What is the $x$-coordinate for the point of inflection where the graph of $f(x)$ goes from concave down to concave up?","2014"
"Question about the stationary point","2014"
"How much work is done in pumping water out over the top edge in order to empty (a) half the tank (b) all of the tank.","2015"
"Freshman's Dream Quotient Rule","2016"
"Intuition on Mean Value Theorem","2012"
"What is Derivative of order more than one?","2014"
"Solving $\lim _{x\to 1}\left(\frac{1-\sqrt[3]{4-3x}}{x-1}\right)$","2015"
"Fundamental theorem of Calculus: $\frac{d}{dx} \int_{-x}^{x} \frac{1}{3+t^2} \ dt$ Possible textbook mistake","2015"
"Is there an easier way to solve this integral problem?","2015"
"Acceleration of a particle described by parametric equations","2012"
"solve $3^x +4^x = 5^x$ in $\Bbb R$","2016"
"Understanding that both $\lim_{y\to 0} \frac{y}{ln(y+1)}$ and $\lim_{y\to 0} \frac{\ln(y+1)}{y}$ is equal to $1$.","2016"
"Evaluating $\int \tfrac{e^{-x}}{1+e^{-x}}dx$","2012"
"Prove that $\displaystyle\lim_{x \to 3} \sqrt{x+1} = 2$","2016"
"Finding dy/dx with two elements?","2016"
"Question about substitution","2012"
"How to perform a double integration","2012"
"Is this function well-defined or just an abuse of notation?","2014"
"Equation of the sphere centered at $(a,b,c)$ that passes through the origin","2013"
"Partial vs Total Derivative (Basic)","2016"
"Tangent Line that Intersects An Intercept","2013"
"Problems with $\int_{1}^{\infty}\frac{\sin x}{x }dx$ convergence","2012"
"Solve for $x$ in $0 = e^{x^2} (2x)$","2014"
"Convergence of an improper integral with trig function","2012"
"Using Rolle's theorem to find the number of real roots","2013"
"Does $F(x)=\int ^{2x-x^2}_0 cos(\frac{1}{1+t^2})dt$ have a maximum or a minimum value?","2016"
"Number of critical points in a period of a periodic function","2012"
"What requirement does a function need to be the magnitude of a gradient?","2014"
"mean value theorem $f'(\xi)=\frac 1\xi$?","2016"
"Why does the derivative graph of a curve look linear and not curvy?","2015"
"Radioactive Decay Function","2015"
"Classify domain in $\Bbb R^3$ as open/closed/bounded/connected","2014"
" $f$ a continuous function in [0,1], Show: $\lim_{x \to 0}, x^{\alpha}\int_{x}^{1}\frac{f(t)}{t^{\alpha+1}}$, for $\alpha >0$","2012"
"Help with epsilon-delta proof of continuity","2011"
"Prove $f$ is differentiable at $c=0$","2014"
"Taylor series, Finding the sum of a series","2016"
"Let $f'(0)=f''(0)=1$, $f^{(12)}(x)$ is differentiable and $g=f(x^{10})$ What's the value of $g^{(11)}(0)$?","2012"
"Evaluate the limit and use L'Hopital's Rule if necessary.","2015"
"Proving that a point is the maximum of a continuous function","2011"
"Addition commutativity in series","2014"
"If $f(x)=\frac{1}{g(x)}$ then $D_f \subset D_g$. Is this true?","2015"
"Additional term in the derivative of error function","2016"
"Piecewise function, derivative problem","2014"
"$(f_n(x))_{n=1}^{\infty}$ , $g \in C[\mathbb{R}]$. Prove: $(g\circ f_n)_{n=1}^{\infty}$ uniformly converges iff $g$ is uniformly continues","2011"
"When does $\ln(x)=\sin(x)$?","2014"
"Surface Traces Ellipses and Hyperbolas","2015"
"Show that under suitable conditions we have $|Df(0)| + |Df(a)| \leq am.$","2015"
"Doubt in a simple inequality involving a integral","2014"
"Find the volume of the solid obtained by rotating the region bounded by the given curves about the specified axis.","2014"
"Finding the angle between vectors","2013"
"integrate $\int_0^12\arctan(1+a\ln(x)) \ dx $","2014"
"Proving that an equation has a solution","2015"
"Find $\int x^ne^xdx$","2015"
"How to determine the image of a set?","2013"
"Why do these two equations equal?","2014"
"precise definition of limit at infinity","2015"
"Critical points of $f\left(x,y,z\right)=x^3+y^3+z^2+2xyz$","2016"
"Prove that there is $c \in (a,b)$ for which $g(c) = 0$","2016"
"Reducing to exact form by integrating factor","2012"
"Let $f(x) = x^5 + x^3 + x$. Assuming that f is invertible, find $f^{−1}(3)$","2013"
"Find a formula for the inverse of the function. $f(x) = x^2 − x$, $x \le1$.","2013"
"How to prove this equality: $\int_0^x(x-t)e^{\cos t}dt=\int_0^x\bigg(\int_0^te^{\cos s}ds\bigg)dt$","2015"
"Continuous function at range","2015"
"How to find $\lim_{t\to0}\bigg(\int_0^1[bx+a(1-x)]^tdx\bigg)^{1/t}$","2015"
"can i continue with this. is there an inverse direction of modus tollens?","2015"
"Why isn't the The Least Upper Bound axiom derivable from the order axioms?","2015"
"Derivative of Velocity with respect to to Distance and vice versa","2014"
"The limiting ratio of the angle and distance between two vectors","2012"
"Solving a $1^\infty$ indeterminate form.","2012"
"Proving that $x\sin x+\cos x=x^2$ has only one positive answer","2012"
"Is this series absolutely convergent (doesn't look like an easy problem)?","2016"
"An Integral which when evaluated leads to a better bound on a familiar constant. What is the bound and the constant?","2013"
"Should $f(x) \equiv 0$?","2014"
"Looking for simple, continuous differentiable decreasing function example that satisfies several conditions","2015"
"Integrating over plane-sphere intersection","2014"
"Prove that $\displaystyle\tanh^{-1}(x)=\frac{1}{2}\ln\left(\frac{1+x}{1-x}\right)$ for $-1<x<1$.","2015"
"proving continuity with monotonic functions","2012"
"Is there a tangent of $x\sin(1/x)$ at $x = 0$?","2013"
"A function with an undefined second derivative at a point","2013"
"Prove that f is differentiable at $0$","2013"
"Evaluate integral of $F.ndA$ by the divergence theorem.","2014"
"continuous injective function on an interval I that is neither increasing nor decreasing function","2014"
"prove the limit of a decreasing sequence","2014"
"Does $f'(0)$ exist?","2013"
"Show that the two partial derivatives exist at every point but that f is not differentiable at (0, 0) .","2015"
"Find the equation of the tangent plane to the graph of the function given by $f (x, y) = x^2 − 2xy + 2y^2$ having slope 2 to +x and slope 4 to +y","2015"
"Prove a function $\mathbb{R}^2\to \mathbb{R}$ is continuous if and only if inverse image of open sets is open","2012"
"How to evaluate the following summation","2014"
"Prove/Disprove - Integral converges so the lim is 0","2016"
"Prove this identity about limit of integral with parameter","2014"
"Integration and Differentiation","2012"
"Limit as x approches infinity - Trouble with calculus","2014"
"Differentiable Function Problem","2014"
"Finding the Coordinates of a Vector","2014"
"Computing volume of a set in $\mathbb R^3$","2014"
"Evaluation of Integral $ \int\frac{1}{(2+3\sin x)^2}dx$","2014"
"The Shortest Distance Between 2 Points On The Earth","2014"
"type of discontinuity","2015"
"Solve $\int_{-1}^1 f(x,t) \, dx=\log \left(\frac{t+1}{1-t}\right)$","2015"
"number of real solution of exponential and logarithmic equation","2016"
"Product rule intuition","2013"
"Rate of flow - positive or negative?","2013"
"Distinguishing and solving limits","2013"
"Unit Tangent Vector and Unit Normal Vector for a given value of t","2016"
"Find the radius of convergence, R, of the series. and Find the interval, I, of convergence of the series.","2014"
"Prove that there is an interval of length $\frac{1}{4}$","2016"
"Can you have a tangent to the curve for a point which the function does not intersect?","2016"
"Find the area of the region bounded by $y = 1$, $y = -1$, $x = y^2-2$, $x = e^y$","2014"
"Volume of a solid $y = 5\sqrt{ 9 − x^2}$ , $y = 0$, $x = 0$, $x = 1$; about the $x$-axis","2016"
"How to show these inequalities?","2014"
"Showing a vector field is not conservative","2014"
"no. of real solution in exp. equation","2013"
"Finding parameter values","2011"
"Is it possible to separate limits of multivariable functions in such a manner?","2015"
"Is there a problem in using this method to find a tangent line to a function?","2015"
"Related rates question","2012"
"question on applying l'Hopital's rule","2012"
"Proving a reduction formula for the antiderivative of $\cos^n(x)$","2012"
"Volume by shell method","2014"
"Prove $\lim_{x\to\infty}{e^{-1\over x^2}\over x}=0$ Wrong demonstration","2016"
"A function twice differentiable exercise","2016"
"Find the indefinite integral of...?","2014"
"Differential equation $a+bf(x)$","2014"
"Continuous functions $f$ satisfying $\int_{0}^{x^2} f(x) = 1-e^{2x^2}$","2016"
"Simple MVT question involving roots of even degree three term polynomial","2015"
"Infinite Geometric Series Issue","2014"
"Prove that if $∑_{n=1}^∞b_n$ converges then $∑_{n=1}^∞a_n$ converges.","2014"
"The integral of a acceleration","2014"
"A Simple Integral","2015"
"Derivative and Integral of $\pi(x)$ (primes before $x$)?","2014"
"How prove this $\sum_{n=1}^{\infty}\frac{x^n(1-x)^n}{n!}f^{(n)}(x)=-\frac{1}{2}xf(x)$","2014"
"if $ax^n+by^n=1+2^{n+1}$ find the value $x^a+y^b$","2014"
"Prove that if $|f|$ is differentiable at $a$ and $f$ is continuous at $a$, then $f$ is differentiable at $a$","2016"
"Why is $2^{\lfloor \log_{2}n \rfloor} \leq n$?","2016"
"Possible number of solutions (Rolle's and The Mean Value Theorems)","2012"
"I'm trying to understand an equality","2014"
"Absolute convergence of the series $sin(a_n)$ implies...?","2014"
"Negativity of $\int_0^1 \sin(k \pi x) \log(x)\;dx$","2014"
"Studying a convergence of a series of powers","2012"
"Limit comparison test application","2012"
"Leibniz's rule application","2012"
"Extreme of an implicit expression","2016"
"Help with verifying integral inequality.","2015"
"Find the volume of a 3-dimensional body","2014"
"Show that $g$ is increasing over $I$","2016"
"Derivative of secant using derivative definition","2015"
"Is this proof (using Rolle's Theorem) correct?","2012"
"$f$ decreasing monotonically decreasing , Prove: for every $\alpha \in (0,1)$ :$\int_{0}^{\alpha} f(x)dx \geq \alpha\int_{0}^{1}f(x)dx$","2012"
"Function on vector space of polynomial is differentiable","2012"
"For $f, \gamma_1, \gamma_2$, Show: $\frac{d(f(\gamma_1 (t)))}{dt}|_{t=0}=\frac{d(f(\gamma_2 (t)))}{dt}|_{t=0}.$","2012"
"Calculation of Integral of $ \int \sqrt{\sec 2x-1}\;dx$ and $ \int \sqrt{\sec 2x+1}\;dx$","2014"
"max/min problem with areas","2012"
"How to show : $ \int_0^\infty \bigl(1+ x^2\bigr)^{-1/2}\; dx < \infty$","2013"
"Prove that the function must be differentiable at $0$","2016"
"Using differentials to find change in surface area when given change in length","2016"
"Proving $f(x)=\frac{x^2}{1+x}$ is uniformly continuous on $[0,\infty)$","2011"
"Prove: $\sum \limits_{n=1}^{\infty}((n+\frac{x}{n})\ln(1+\frac{x}{n})-x)$ for $x \in [0,a]$ uniformly converges","2011"
"Find the function F such that","2016"
"What are the steps for finding consumer surplus based on x bar and the demand equation?","2013"
"Integration by parts. Cyclic effect.","2014"
"Calculating limits for indeterminate forms","2014"
"Evaluation of $\int_0^\infty \frac{1}{\left[x^4+(1+\sqrt{2})x^2+1\right]\cdot \left[x^{100}-x^{98}+\cdots+1\right]}dx$","2015"
"If $f(x) = x^3+3x+4\;,$ Then value of $ \int_{-1}^{1}f(x)dx+\int_{0}^{4}f^{-1}(x)dx$","2015"
"How do we write $x\sqrt{x^2+1}$ in terms of $\sinh(x)$?","2015"
"Prove that $g(x)=\frac{\ln(S_n (x))}{\ln(S_{n-1}(x))}$ is increasing in $x$, where $S_{n}(x)=\sum_{m=0}^{n}\frac{x^m}{m!}$","2015"
"taylor series with bounded derivatives.","2014"
"integral of $\frac{(1+x^{1/2})^9}{ x^{1/2}}$","2014"
"Relationship between Ax + By = C and by + ax = ab","2016"
"System of five quintic equations, find all real roots","2013"
"Question about about Stokes Theorem","2016"
"Differentiating with respect to a function","2012"
"How to integrate this difficult function?","2016"
"Calculus problem properties of roots of polynomials","2014"
"Find all continuous functions $g(x)$ satisfying $\int_{0}^{f(x)}f(t)g(t)dt = g(f(x))-1$","2016"
"Deriving the inverse of $\cosh$","2015"
"Moment of inertia using spherical coordinates...","2015"
"Surface integral of vector field over a unit ball","2014"
"The position of two particles on the $x$-axis are $x_1 = \sin t$ and $x_2 = \sin \left(t + \frac{\pi}{3}\right)$","2012"
"Basic Integration Problem Using e","2014"
"$\int 5\sqrt{x^3+2x}\, \textrm{d}x$","2012"
"super convergent E^x series","2015"
"Determine whether $\int_1^\infty \sin \frac{1}{x^2}\,dx $ is divergent or convergent","2016"
"If f is a function of $x$ and $t$ where $x$ itself is a function of time does this mean $\frac{\partial f}{\partial x}=0$?","2014"
"Existence of a function with conditions on the derivatives of it","2014"
"Prove without using mean value theorem","2014"
"Definition of linear approximation","2012"
"Proving that $e^x>1+x^2$","2012"
"enumeration of positive rational numbers","2014"
